Institution,School,ApparelPartner,RevenuePerYear
Appalachian State University,Appalachian State,Nike,200000
Arizona State University-Tempe,Arizona State,Adidas,4200000
Arkansas State University-Main Campus,Arkansas State,Adidas,1577142.857
Auburn University,Auburn,Under Armour,6400000
Ball State University,Ball State,Nike,164500
Baylor University,Baylor,Nike,3500000
Boise State University,Boise State,Nike,2030000
Boston College,Boston College,Under Armour,2500000
Bowling Green State University-Main Campus,Bowling Green,Nike,184000
Brigham Young University-Provo,Brigham Young,Nike,3400000
California State University-Fresno,Fresno State,Adidas,1275000
Central Michigan University,Central Michigan,Adidas,189000
Clemson University,Clemson,Nike,2775000
Coastal Carolina University,Coastal Carolina,Under Armour,200000
Colorado State University-Fort Collins,Colorado State,Under Armour,2200000
Duke University,Duke,Nike,4250000
East Carolina University,East Carolina,Adidas,1425000
Eastern Michigan University,Eastern Michigan,Adidas,200000
Florida Atlantic University,Florida Atlantic,Adidas,295000
Florida International University,FIU,Adidas,373000
Florida State University,Florida State,Nike,4210000
Georgia Institute of Technology-Main Campus,Georgia Tech,Adidas,3110000
Georgia Southern University,Georgia Southern,Adidas,285714.2857
Georgia State University,Georgia State,Under Armour,385714.2857
Indiana University-Bloomington,Indiana,Adidas,5680000
Iowa State University,Iowa State,Nike,480000
Kansas State University,Kansas State,Nike,1940000
Kent State University at Kent,Kent State,Under Armour,350000
Liberty University,Liberty,Nike,0
Louisiana State University and Agricultural & Mechanical College,LSU,Nike,4300000
Louisiana Tech University,Louisiana Tech,Adidas,585000
Marshall University,Marshall,Nike,250500
Miami University-Oxford,Miami (OH),Adidas,275000
Michigan State University,Michigan State,Nike,4060000
Middle Tennessee State University,Middle Tennessee,Nike,142500
Mississippi State University,Mississippi State,Adidas,2428571.429
New Mexico State University-Main Campus,New Mexico State,Under Armour,350000
North Carolina State University at Raleigh,NC State,Adidas,4150000
Northern Illinois University,Northern Illinois,Adidas,200000
Northwestern University,Northwestern,Under Armour,3000000
Ohio State University-Main Campus,Ohio State,Nike,6305681
Ohio University-Main Campus,Ohio,Adidas,720000
Oklahoma State University-Main Campus,Oklahoma State,Nike,4600000
Old Dominion University,Old Dominion,Under Armour,350000
Oregon State University,Oregon State,Nike,3300000
Pennsylvania State University-Main Campus,Penn State,Nike,3500000
Purdue University-Main Campus,Purdue,Nike,2050000
Rice University,Rice,Adidas,400286
Rutgers University-New Brunswick,Rutgers,Adidas,1740000
San Diego State University,San Diego State,Nike,1200000
San Jose State University,San Jose State,Adidas,750000
Southern Methodist University,SMU,Nike,2790000
Stanford University,Stanford,Nike,2150000
Syracuse University,Syracuse,Nike,3000000
Temple University,Temple,Nike,2790000
Texas A & M University-College Station,Texas A&M,Adidas,6800000
Texas Christian University,TCU,Nike,2900000
Texas State University,Texas State,Adidas,200000
Texas Tech University,Texas Tech,Under Armour,2650000
The University of Alabama,Alabama,Nike,3890000
The University of Tennessee-Knoxville,Tennessee,Nike,3900000
The University of Texas at Austin,Texas,Nike,11950000
The University of Texas at El Paso,UTEP,Nike,400286
The University of Texas at San Antonio,UTSA,Adidas,291000
Troy University,Troy,Adidas,200000
Tulane University of Louisiana,Tulane,Nike,2790000
University at Buffalo,Buffalo,Nike,260000
University of Akron Main Campus,Akron,Adidas,140000
University of Alabama at Birmingham,UAB,Under Armour,1100000
University of Arizona,Arizona,Nike,3100000
University of Arkansas,Arkansas,Nike,3750000
University of California-Berkeley,California,Under Armour,8300000
University of California-Los Angeles,UCLA,Under Armour,18600000
University of Central Florida,UCF,Nike,2790000
University of Cincinnati-Main Campus,Cincinnati,Under Armour,4755000
