Survey Year,UNITID,Institution Name,,,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2008,197869,Appalachian State University,Appalachian State,Appalachian State2008,NC,NCAA Division I-FCS,,1,NCAA,6806,6819,13625,39689,23,48376,18.87,24784,13,32611,9.88,,,,
2008,104151,Arizona State University,Arizona State,Arizona State2008,AZ,NCAA Division I-FBS,,1,NCAA,20844,22182,43026,116919,25,139189,21,61468,21,75931,17,,,,
2008,106458,Arkansas State University-Main Campus,Arkansas State,Arkansas State2008,AR,NCAA Division I-FBS,,1,NCAA,3121,4400,7521,47839,19,55087,16.5,23864,8,29371,6.5,,,,
2008,100858,Auburn University Main Campus,Auburn,Auburn2008,AL,NCAA Division I-FBS,,1,NCAA,9258,9119,18377,140541,28,145746,27,64696,25,64696,25,,,,
2008,150136,Ball State University,Ball State,Ball State2008,IN,NCAA Division I-FBS,,1,NCAA,7561,8058,15619,48355,23,56743,19.6,26899,17,35176,13,,,,
2008,223232,Baylor University,Baylor,Baylor2008,TX,NCAA Division I-FBS,,1,NCAA,4931,6916,11847,97393,21,97393,21,53950,18,55239,17.58,,,,
2008,142115,Boise State University,Boise State,Boise State2008,ID,NCAA Division I-FBS,,1,NCAA,5430,6085,11515,83810,18,91429,16.5,35075,15,41265,12.75,,,,
2008,164924,Boston College,Boston College,Boston College2008,MA,NCAA Division I-FBS,,1,NCAA,4485,4773,9258,120359,24,140908,20.5,38263,21,48698,16.5,,,,
2008,201441,Bowling Green State University-Main Campus,Bowling Green,Bowling Green2008,OH,NCAA Division I-FBS,,1,NCAA,6346,7348,13694,63850,18,68944,16.67,36627,15,41123,13.36,,,,
2008,230038,Brigham Young University,Brigham Young,Brigham Young2008,UT,NCAA Division I-FBS,,1,NCAA,14195,13791,27986,96831,24,105442,22.04,58842,20,70809,16.62,,,,
