Year,School,SchoolYear,Games,TotalAttendance,AVGPerGame,Capacity,PercentageofCapacity
2019,Air Force,Air Force2019,6,162505,27084,52237,0.518483068
2019,Akron,Akron2019,6,107752,17959,30000,0.598633333
2019,Alabama,Alabama2019,7,707817,101117,101821,0.993085906
2019,Appalachian State,Appalachian State2019,7,166640,23806,24150,0.985755694
2019,Arizona,Arizona2019,6,237194,39532,56037,0.705462462
2019,Arizona State,Arizona State2019,7,344161,49166,56232,0.874342012
2019,Arkansas,Arkansas2019,7,356517,50931,72000,0.707375
2019,Arkansas State,Arkansas State2019,6,124017,20670,30964,0.667549412
2019,Army,Army2019,6,185935,30989,38000,0.8155
2019,Auburn,Auburn2019,7,600355,85765,87451,0.980720632
2019,Ball State,Ball State2019,6,59545,9924,22500,0.441066667
2019,Baylor,Baylor2019,7,318621,45517,45140,1.008351794
2019,Boise State,Boise State2019,7,224490,32070,37000,0.866756757
2019,Boston College,Boston College2019,6,205111,34185,44500,0.768202247
2019,Bowling Green,Bowling Green2019,6,91768,15295,23724,0.644705783
2019,Buffalo,Buffalo2019,6,98504,16417,29013,0.565849791
2019,Brigham Young,Brigham Young2019,6,357281,59547,63725,0.934437034
2019,California,California2019,6,254597,42433,62717,0.676578918
2019,Central Michigan,Central Michigan2019,6,81386,13564,30255,0.448322591
2019,Charlotte,Charlotte2019,6,73915,12319,15314,0.804427321
2019,Cincinnati,Cincinnati2019,6,215908,35985,40000,0.899625
2019,Clemson,Clemson2019,7,566074,80868,81500,0.992245399
2019,Coastal Carolina,Coastal Carolina2019,6,90112,15019,15000,1.001266667
2019,Colorado,Colorado2019,6,297435,49573,53750,0.922288372
2019,Colorado State,Colorado State2019,6,140025,23338,41200,0.566456311
2019,Duke,Duke2019,6,154867,25811,40004,0.645210479
2019,East Carolina,East Carolina2019,6,198804,33134,50000,0.66268
2019,Eastern Michigan,Eastern Michigan2019,5,85127,17025,30200,0.563741722
2019,FIU,FIU2019,6,83242,13874,23500,0.590382979
2019,Florida Atlantic,Florida Atlantic2019,8,140857,17607,30000,0.5869
2019,Florida,Florida2019,6,508103,84684,88548,0.956362651
2019,Florida State,Florida State2019,7,378136,54019,82300,0.65636695
2019,Fresno State,Fresno State2019,6,189310,31552,41031,0.768979552
2019,Georgia Southern,Georgia Southern2019,6,83785,13964,24300,0.574650206
2019,Georgia,Georgia2019,7,649722,92817,92746,1.000765532
2019,Georgia State,Georgia State2019,6,103116,17186,23000,0.747217391
2019,Georgia Tech,Georgia Tech2019,7,312194,44599,55000,0.810890909
2019,Hawaii,Hawaii2019,9,211090,23454,50000,0.46908
2019,Houston,Houston2019,5,127592,25518,40000,0.63795
2019,Illinois,Illinois2019,7,256110,36587,60670,0.603049283
2019,Indiana,Indiana2019,6,247463,41244,52959,0.77879114
2019,Iowa,Iowa2019,7,458897,65557,70585,0.928766735
2019,Iowa State,Iowa State2019,7,418561,59794,61000,0.980229508
2019,Kansas,Kansas2019,7,237122,33875,50071,0.676539314
2019,Kansas State,Kansas State2019,7,341726,48818,50000,0.97636
