Year,Date,Time,GameType,Team1,Team2,Network,Rating,Viewers,Notes
2019,1/13/2020,,Bowl Game,LSU,Clemson,ESPN,14.3,25.59,
2019,12/28/2020,,Bowl Game,Clemson,Ohio State,ESPN,11.1,21.15,
2019,12/28/2020,,Bowl Game,LSU,Oklahoma,ESPN,9.5,17.21,
2019,1/1/2020,,Bowl Game,Oregon,Wisconsin,ESPN,8.7,16.3,
2019,1/1/2020,,Bowl Game,Alabama,Michigan,ABC,8,14,
2019,1/1/2020,,Bowl Game,Georgia,Baylor,ESPN,5.7,10.22,
2019,12/28/2020,,Bowl Game,Penn State,Memphis,ESPN,3.8,6.22,
2019,12/30/2020,,Bowl Game,Florida,Virginia,ESPN,3.5,6.07,
2019,12/31/2020,,Bowl Game,Texas,Utah,ESPN,3.1,5.61,
2019,12/27/2020,,Bowl Game,Oklahoma State,Texas A&M,ESPN,2.8,4.9,
2019,1/2/2020,,Bowl Game,Tennessee,Indiana,ESPN,2.6,4.32,
2019,12/28/2020,,Bowl Game,Notre Dame,Iowa State,ABC,2.65,4.17,
2019,1/1/2020,,Bowl Game,Auburn,Minnesota,ESPN,2.4,3.9,
2019,12/27/2020,,Bowl Game,Michigan State,Wake Forest,ESPN,2.3,3.8,
2019,,,Bowl Game,Navy,Kansas State,,2.1,3.33,
2019,,,Bowl Game,Arizona State,Florida State,,2.1,3.17,
2019,,,Bowl Game,Pittsburgh,Eastern Michigan,,1.8,3.05,
2019,,,Bowl Game,Boise State,Washington,,1.6,2.64,
2019,,,Bowl Game,Kentucky,Virginia Tech,,1.7,2.62,
2019,,,Bowl Game,Washington State,Air Force,,1.6,2.62,
2019,,,Bowl Game,Iowa,USC,,1.3,2.5,
2019,,,Bowl Game,Hawaii,BYU,,1.4,2.43,
2019,,,Bowl Game,Louisiana Tech,Miami (FL),,1.4,2.37,
2019,,,Bowl Game,Mississippi State,Louisville,,1.4,2.2,
2019,,,Bowl Game,North Carolina,Temple,,1.3,2.07,
2019,,,Bowl Game,SMU,Florida Atlantic,,1.3,1.99,
2019,,,Bowl Game,California,Illinois,,1.2,1.87,
2019,,,Bowl Game,Tulane,Southern Mississippi,,1.2,1.74,
2019,,,Bowl Game,Cincinatti,Boston College,,1,1.52,
2019,,,Bowl Game,Louisiana,Miami (OH),,0.9,1.45,
2019,,,Bowl Game,Nevada,Ohio,,0.9,1.36,
2019,,,Bowl Game,Western Kentucky,Western Michigan,,0.9,1.29,
2019,,,Bowl Game,Utah State,Kent State,,0.8,1.25,
2019,,,Bowl Game,UCF,Marshall,,0.8,1.15,
