Survey Year,UNITID,Institution Name,School,Mascot,City,State,Zip,School Year Label,State CD,Classification Name,Conference,Undergraduate Enrollment,Football Total Revenue,Total Department Revenue,Football Operating Expenses,Total Department Operating Expenses,Total Department Recruiting Expenses,Average Salary per FT Men's Sports Assistant Coaches,Men's Team Number of Assistant Coaches Included in Average,Average Salary per FT Men's Sports Head Coaches,Men's Team Number of Head Coaches Included in Average
2008,197869,Appalachian State University,Appalachian State,Mountaineers,Boone,North Carolina,28608,Appalachian State2008,NC,NCAA Division I-AA,Sun Belt,13625,3307184,13252263,689871,1644903,188179,48376,18.87,89660,7.75
2008,104151,Arizona State University,Arizona State,Sun Devils,Tempe,Arizona,85281,Arizona State2008,AZ,NCAA Division I-A,Pac-12,43026,29857334,53297963,3889454,8171275,482311,139189,21,667066,6
2008,106458,Arkansas State University-Main Campus,Arkansas State,Red Wolves,Jonesboro,Arkansas,72467,Arkansas State2008,AR,NCAA Division I-A,Sun Belt,7521,3726141,10745253,794808,1966212,170562,55087,16.5,83273,4.5
2008,100858,Auburn University Main Campus,Auburn,Tigers,Auburn,Alabama,36849,Auburn2008,AL,NCAA Division I-A,SEC,18377,58618819,87001416,3374474,8149557,1076555,145746,27,662307,7
2008,150136,Ball State University,Ball State,Cardinals,Muncie,Indiana,47306,Ball State2008,IN,NCAA Division I-A,MAC,15619,5181790,19385563,798623,2397897,135215,56743,19.6,124948,7
2008,223232,Baylor University,Baylor,Bears,Waco,Texas,76798,Baylor2008,TX,NCAA Division I-A,Big 12,11847,11896723,48545254,1766991,6428471,616732,97393,21,559511,6
2008,142115,Boise State University,Boise State,Broncos,Boise,Idaho,83725,Boise State2008,ID,NCAA Division I-A,Mountain West,11515,8515597,20583008,1502184,3490824,200514,91429,16.5,287985,5.5
2008,164924,Boston College,Boston College,Eagles,Chestnut Hill,Massachusetts,02467,Boston College2008,MA,NCAA Division I-A,ACC,9258,20711067,64157876,4523895,8957701,532253,140908,20.5,258433,10
2008,201441,Bowling Green State University-Main Campus,Bowling Green,Falcons,Bowling Green,Ohio,43403,Bowling Green2008,OH,NCAA Division I-A,MAC,13694,2118327,16320676,771899,1800907,267907,68944,16.67,146119,7
2008,230038,Brigham Young University,Brigham Young,Cougars,Provo,Utah,84602,Brigham Young2008,UT,NCAA Division I-A,Independent,27986,12520065,35628193,1702963,5310488,511177,105442,22.04,249986,7.68
2008,110556,California State University-Fresno,Fresno State,Bulldogs,Fresno,California,93740,Fresno State2008,CA,NCAA Division I-A,Mountain West,15717,10414434,28806348,1743700,4926311,212662,97040,17,353428,5.5
2008,169248,Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,Michigan,48859,Central Michigan2008,MI,NCAA Division I-A,MAC,17889,7991950,22476972,1650215,2828784,276202,54142,20.85,139828,5
2008,217882,Clemson University,Clemson,Tigers,Clemson,South Carolina,29634,Clemson2008,SC,NCAA Division I-A,ACC,13734,35205168,60167535,4121746,7221025,765738,122055,22,443981,7
2008,218724,Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,South Carolina,29526,Coastal Carolina2008,SC,NCAA Division I-AA,Sun Belt,6860,3773876,15080552,642235,2029394,239756,57878,17.63,112972,6.85
2008,126818,Colorado State University,Colorado State,Rams,Fort Collins,Colorado,80523,Colorado State2008,CO,NCAA Division I-A,Mountain West,19500,5981376,22333071,1852530,3312089,351301,112388,14,353186,3.5
2008,198419,Duke University,Duke,Blue Devils,Durham,North Carolina,27708,Duke2008,NC,NCAA Division I-A,ACC,6340,9029583,71072431,5869292,16255699,769474,123316,24,653502,10
2008,198464,East Carolina University,East Carolina,Pirates,Greenville,North Carolina,27858,East Carolina2008,NC,NCAA Division I-A,American,18198,7833996,30569723,2492075,5109098,294291,109000,18,340550,6
2008,169798,Eastern Michigan University,Eastern Michigan,Eagles,Ypsilanti,Michigan,48197,Eastern Michigan2008,MI,NCAA Division I-A,MAC,12234,5289450,21951867,590588,1733325,362786,77542,15.54,203224,6
2008,133669,Florida Atlantic University,Florida Atlantic,Owls,Boca Raton,Florida,33431,Florida Atlantic2008,FL,NCAA Division I-A,C-USA,12358,2546699,14863017,1390182,2971458,171063,52296,20.5,152960,6.75
2008,133951,Florida International University,FIU,Panthers,Miami,Florida,33199,FIU2008,FL,NCAA Division I-A,C-USA,18972,6563171,21270045,1346225,3045920,274997,84931,17,186036,5
2008,134097,Florida State University,Florida State,Seminoles,Tallahassee,Florida,32306,Florida State2008,FL,NCAA Division I-A,ACC,26265,24877536,74417324,4050687,9877511,480040,207362,20.5,675465,6
2008,139755,Georgia Institute of Technology-Main Campus,Georgia Tech,Yellow Jackets,Atlanta,Georgia,30332,Georgia Tech2008,GA,NCAA Division I-A,ACC,11954,22830766,48061053,3777621,7970083,1111086,125247,19.5,200616,6.5
2008,139931,Georgia Southern University,Georgia Southern,Eagles,Statesboro,Georgia,30460,Georgia Southern2008,GA,NCAA Division I-AA,Sun Belt,13719,2086516,10879521,320657,1051410,148686,41367,17,83720,6
2008,139940,Georgia State University,Georgia State,Panthers,Atlanta,Georgia,30302,Georgia State2008,GA,NCAA Division I-AAA,Sun Belt,15364,,16311528,0,1782128,103633,35174,7.5,74980,6.5
2008,151351,Indiana University-Bloomington,Indiana,Hoosiers,Bloomington,Indiana,47405,Indiana2008,IN,NCAA Division I-A,Big Ten,30006,20836473,60615528,1491025,6286538,526772,94663,24.5,385084,8.5
2008,153603,Iowa State University,Iowa State,Cyclones,Ames,Iowa,50011,Iowa State2008,IA,NCAA Division I-A,Big 12,20215,21261439,45813189,2103144,6327218,817582,108104,17.5,452690,4.5
2008,155399,Kansas State University,Kansas State,Wildcats,Manhattan,Kansas,66506,Kansas State2008,KS,NCAA Division I-A,Big 12,16146,21378813,47399903,2032784,5905356,903971,214104,16.25,669106,4.75
2008,203517,Kent State University Kent Campus,Kent State,Golden Flashes,Kent,Ohio,44240,Kent State2008,OH,NCAA Division I-A,MAC,15775,4997453,17942193,486892,1599572,167626,42178,22.05,122803,5.15
2008,232557,Liberty University,Liberty,Flames,Lynchburg,Virginia,24515,Liberty2008,VA,NCAA Division I-AA,Independent,14545,6911101,23670641,355210,1070246,262772,56616,21,128429,7
2008,159391,Louisiana State University and Agricultural & Mechanical College,LSU,Tigers,Baton Rouge,Louisiana,70803,LSU2008,LA,NCAA Division I-A,SEC,21767,61868953,100077884,3558327,8441100,735532,209194,20.5,1003822,6
2008,159647,Louisiana Tech University,Louisiana Tech,Bulldogs,Ruston,Louisiana,71272,Louisiana Tech2008,LA,NCAA Division I-A,C-USA,6443,2835741,13901349,1910916,3879594,194643,77654,15.05,189535,3.75
2008,237525,Marshall University,Marshall,Thundering Herd,Huntington,West Virginia,25755,Marshall2008,WV,NCAA Division I-A,C-USA,7668,6859758,22140516,1559746,4130437,454221,77127,16.51,166359,5.39
2008,204024,Miami University-Oxford,Miami (OH),RedHawks,Oxford,Ohio,45056,Miami (OH)2008,OH,NCAA Division I-A,MAC,14785,5356706,24685668,493034,2615229,388158,78038,22,205557,7
2008,171100,Michigan State University,Michigan State,Spartans,East Lansing,Michigan,48824,Michigan State2008,MI,NCAA Division I-A,Big Ten,33096,43506725,75624811,3662366,10020044,634169,120752,25.6,663270,8.96
2008,220978,Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,37132,Middle Tennessee2008,TN,NCAA Division I-A,C-USA,18126,5513282,17204861,993843,2858850,248394,65176,15.77,132335,3.91
2008,176080,Mississippi State University,Mississippi State,Bulldogs,Starkville,Mississippi,39762,Mississippi State2008,MS,NCAA Division I-A,SEC,12555,18732248,36536152,944477,3322948,449350,179145,16,182775,6
2008,188030,New Mexico State University-Main Campus,New Mexico State,Aggies,Las Cruces,New Mexico,88003,New Mexico State2008,NM,NCAA Division I-A,Independent,11753,6479728,25616185,2355202,5677732,229331,67485,15.96,183612,4.35
2008,199193,North Carolina State University at Raleigh,NC State,Wolfpack,Raleigh,North Carolina,27607,NC State2008,NC,NCAA Division I-A,ACC,21354,21772446,46491105,1795373,5075132,854263,110419,23.5,201288,8.5
2008,147703,Northern Illinois University,Northern Illinois,Huskies,DeKalb,Illinois,60115,Northern Illinois2008,IL,NCAA Division I-A,MAC,16470,5150310,19903785,1976017,3570816,250065,62645,20,145537,7
2008,147767,Northwestern University,Northwestern,Wildcats,Evanston,Illinois,60201,Northwestern2008,IL,NCAA Division I-A,Big Ten,8341,23951794,48582384,2947622,6281613,440941,98925,20.6,262725,8.5
2008,204796,Ohio State University-Main Campus,Ohio State,Buckeyes,Columbus,Ohio,43210,Ohio State2008,OH,NCAA Division I-A,Big Ten,36333,68196195,119859607,5196663,11743269,669281,126487,32.5,513079,14
2008,204857,Ohio University-Main Campus,Ohio,Bobcats,Athens,Ohio,45701,Ohio2008,OH,NCAA Division I-A,MAC,16204,6043619,21893603,1004746,2394249,349081,66184,16.73,175988,5.5
2008,207388,Oklahoma State University-Main Campus,Oklahoma State,Cowboys,Stillwater,Oklahoma,74078,Oklahoma State2008,OK,NCAA Division I-A,Big 12,15472,26536625,71805825,2540294,6105470,683360,206359,20,628783,7
2008,232982,Old Dominion University,Old Dominion,Monarchs,Norfolk,Virginia,23508,Old Dominion2008,VA,NCAA Division I-AAA,C-USA,12754,2075136,27219527,725928,2915213,258215,68865,18.5,202003,7.5
2008,209542,Oregon State University,Oregon State,Beavers,Corvallis,Oregon,97331,Oregon State2008,OR,NCAA Division I-A,Pac-12,13921,30874059,50211404,2781845,5880380,563579,123501,20,469384,7
2008,214777,Pennsylvania State University-Main Campus,Penn State,Nittany Lions,University Park,Pennsylvania,16802,Penn State2008,PA,NCAA Division I-A,Big Ten,36329,61767717,95978243,2227374,8208578,545410,107955,31.85,235045,11.5
2008,243780,Purdue University-Main Campus,Purdue,Boilermakers,West Lafayette,Indiana,47907,Purdue2008,IN,NCAA Division I-A,Big Ten,30684,18320608,59919102,2725793,7105873,908488,129330,23.75,525009,6.8
2008,227757,Rice University,Rice,Owls,Houston,Texas,77251,Rice2008,TX,NCAA Division I-A,C-USA,3102,12682194,30671822,1409860,4263983,525511,97402,17,283558,6
2008,186380,Rutgers University-New Brunswick,Rutgers,Scarlet Knights,Piscataway,New Jersey,08854,Rutgers2008,NJ,NCAA Division I-A,Big Ten,26382,19738023,54304756,5563170,9483332,485076,102884,23.5,435676,7.5
