Year,GameType,Week,Date,Day,WinnerRank,Winner,Winnerwas,PtsW,HomeAway,LoserRank,Loser,Loserwas,PtsL,Notes
2008,Regular Season,1,August 28 2008,Thursday,,Ball State,Home,48,,,Northeastern,Away,14,
2008,Regular Season,1,August 28 2008,Thursday,,Buffalo,Home,42,,,UTEP,Away,17,
2008,Regular Season,1,August 28 2008,Thursday,,Central Michigan,Home,31,,,Eastern Illinois,Away,12,
2008,Regular Season,1,August 28 2008,Thursday,,Cincinnati,Home,40,,,Eastern Kentucky,Away,7,
2008,Regular Season,1,August 28 2008,Thursday,,UConn,Home,35,,,Hofstra,Away,3,
2008,Regular Season,1,August 28 2008,Thursday,,Eastern Michigan,Home,52,,,Indiana State,Away,0,
2008,Regular Season,1,August 28 2008,Thursday,,Georgia Tech,Home,41,,,Jacksonville State,Away,14,
2008,Regular Season,1,August 28 2008,Thursday,,Iowa State,Home,44,,,South Dakota State,Away,17,
2008,Regular Season,1,August 28 2008,Thursday,,Miami (FL),Home,52,,,Charleston Southern,Away,7,
2008,Regular Season,1,August 28 2008,Thursday,,South Carolina,Home,34,,,NC State,Away,0,
2008,Regular Season,1,August 28 2008,Thursday,,Stanford,Home,36,,,Oregon State,Away,28,
2008,Regular Season,1,August 28 2008,Thursday,,Troy,Away,31,@,,Middle Tennessee,Home,17,
2008,Regular Season,1,August 28 2008,Thursday,,Vanderbilt,Away,34,@,,Miami (OH),Home,13,
2008,Regular Season,1,August 28 2008,Thursday,23,Wake Forest,Away,41,@,,Baylor,Home,13,
2008,Regular Season,1,August 29 2008,Friday,,Rice,Home,56,,,SMU,Away,27,
2008,Regular Season,1,August 29 2008,Friday,,Temple,Away,35,@,,Army,Home,7,
2008,Regular Season,1,August 30 2008,Saturday,,Air Force,Home,41,,,Southern Utah,Away,7,
2008,Regular Season,1,August 30 2008,Saturday,24,Alabama,Home,34,,9,Clemson,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,,Arizona,Home,70,,,Idaho,Away,0,
2008,Regular Season,1,August 30 2008,Saturday,15,Arizona State,Home,30,,,Northern Arizona,Away,13,
2008,Regular Season,1,August 30 2008,Saturday,,Arkansas,Home,28,,,Western Illinois,Away,24,
2008,Regular Season,1,August 30 2008,Saturday,,Arkansas State,Away,18,@,,Texas A&M,Home,14,
2008,Regular Season,1,August 30 2008,Saturday,10,Auburn,Home,34,,,Louisiana-Monroe,Away,0,
2008,Regular Season,1,August 30 2008,Saturday,,Boise State,Home,49,,,Idaho State,Away,7,
2008,Regular Season,1,August 30 2008,Saturday,,Boston College,Away,21,@,,Kent State,Home,0,
2008,Regular Season,1,August 30 2008,Saturday,,Bowling Green,Away,27,@,25,Pittsburgh,Home,17,
2008,Regular Season,1,August 30 2008,Saturday,16,Brigham Young,Home,41,,,Northern Iowa,Away,17,
2008,Regular Season,1,August 30 2008,Saturday,,Cal Poly,Away,29,@,,San Diego State,Home,27,
2008,Regular Season,1,August 30 2008,Saturday,,California,Home,38,,,Michigan State,Away,31,
2008,Regular Season,1,August 30 2008,Saturday,,UCF,Home,17,,,South Carolina State,Away,0,
2008,Regular Season,1,August 30 2008,Saturday,,Duke,Home,31,,,James Madison,Away,7,
2008,Regular Season,1,August 30 2008,Saturday,,East Carolina,Home,27,,17,Virginia Tech,Away,22,
2008,Regular Season,1,August 30 2008,Saturday,5,Florida,Home,56,,,Hawaii,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,1,Georgia,Home,45,,,Georgia Southern,Away,21,
2008,Regular Season,1,August 30 2008,Saturday,,Houston,Home,55,,,Southern,Away,3,
2008,Regular Season,1,August 30 2008,Saturday,,Indiana,Home,31,,,Western Kentucky,Away,13,
2008,Regular Season,1,August 30 2008,Saturday,,Iowa,Home,46,,,Maine,Away,3,
2008,Regular Season,1,August 30 2008,Saturday,14,Kansas,Home,40,,,FIU,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,,Kansas State,Home,45,,,North Texas,Away,6,
2008,Regular Season,1,August 30 2008,Saturday,7,LSU,Home,41,,,Appalachian State,Away,13,
2008,Regular Season,1,August 30 2008,Saturday,,Louisiana Tech,Home,22,,,Mississippi State,Away,14,
2008,Regular Season,1,August 30 2008,Saturday,,Marshall,Home,35,,,Illinois State,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,,Maryland,Home,14,,,Delaware,Away,7,
2008,Regular Season,1,August 30 2008,Saturday,,Minnesota,Home,31,,,Northern Illinois,Away,27,
2008,Regular Season,1,August 30 2008,Saturday,,Ole Miss,Home,41,,,Memphis,Away,24,
2008,Regular Season,1,August 30 2008,Saturday,6,Missouri,Home,52,,20,Illinois,Away,42,
2008,Regular Season,1,August 30 2008,Saturday,,Navy,Home,41,,,Towson,Away,13,
2008,Regular Season,1,August 30 2008,Saturday,,Nebraska,Home,47,,,Western Michigan,Away,24,
2008,Regular Season,1,August 30 2008,Saturday,,Nevada,Home,49,,,Grambling State,Away,13,
2008,Regular Season,1,August 30 2008,Saturday,,UNLV,Home,27,,,Utah State,Away,17,
2008,Regular Season,1,August 30 2008,Saturday,,North Carolina,Home,35,,,McNeese State,Away,27,
2008,Regular Season,1,August 30 2008,Saturday,,Northwestern,Home,30,,,Syracuse,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,2,Ohio State,Home,43,,,Youngstown State,Away,0,
2008,Regular Season,1,August 30 2008,Saturday,4,Oklahoma,Home,57,,,Chattanooga,Away,2,
2008,Regular Season,1,August 30 2008,Saturday,,Oklahoma State,Away,39,@,,Washington State,Home,13,
2008,Regular Season,1,August 30 2008,Saturday,21,Oregon,Home,44,,,Washington,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,22,Penn State,Home,66,,,Coastal Carolina,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,,San Jose State,Home,13,,,California-Davis,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,19,South Florida,Home,56,,,Tennessee-Martin,Away,7,
2008,Regular Season,1,August 30 2008,Saturday,3,USC,Away,52,@,,Virginia,Home,7,
2008,Regular Season,1,August 30 2008,Saturday,,Southern Mississippi,Home,51,,,Louisiana,Away,21,
2008,Regular Season,1,August 30 2008,Saturday,11,Texas,Home,52,,,Florida Atlantic,Away,10,
2008,Regular Season,1,August 30 2008,Saturday,,TCU,Away,26,@,,New Mexico,Home,3,
2008,Regular Season,1,August 30 2008,Saturday,12,Texas Tech,Home,49,,,Eastern Washington,Away,24,
2008,Regular Season,1,August 30 2008,Saturday,,Tulsa,Away,45,@,,UAB,Home,22,
2008,Regular Season,1,August 30 2008,Saturday,,Utah,Away,25,@,,Michigan,Home,23,
2008,Regular Season,1,August 30 2008,Saturday,8,West Virginia,Home,48,,,Villanova,Away,21,
2008,Regular Season,1,August 30 2008,Saturday,13,Wisconsin,Home,38,,,Akron,Away,17,
2008,Regular Season,1,August 30 2008,Saturday,,Wyoming,Home,21,,,Ohio,Away,20,
2008,Regular Season,1,August 31 2008,Sunday,,Colorado,Home,38,,,Colorado State,Away,17,
2008,Regular Season,1,August 31 2008,Sunday,,Colorado,Home,38,,,Colorado State,Away,17,Empower Field at Mile High - Denver Colorado
2008,Regular Season,1,August 31 2008,Sunday,,Kentucky,Away,27,@,,Louisville,Home,2,
2008,Regular Season,1,September 1 2008,Monday,,Fresno State,Away,24,@,,Rutgers,Home,7,
2008,Regular Season,1,September 1 2008,Monday,,UCLA,Home,27,,18,Tennessee,Away,24,
2008,Regular Season,2,September 4 2008,Thursday,,Vanderbilt,Home,24,,24,South Carolina,Away,17,
2008,Regular Season,2,September 5 2008,Friday,,Ball State,Home,35,,,Navy,Away,23,
2008,Regular Season,2,September 6 2008,Saturday,,Air Force,Away,23,@,,Wyoming,Home,3,
2008,Regular Season,2,September 6 2008,Saturday,,Akron,Away,42,@,,Syracuse,Home,28,
2008,Regular Season,2,September 6 2008,Saturday,13,Alabama,Home,20,,,Tulane,Away,6,
2008,Regular Season,2,September 6 2008,Saturday,,Arizona,Home,41,,,Toledo,Away,16,
2008,Regular Season,2,September 6 2008,Saturday,15,Arizona State,Home,41,,,Stanford,Away,17,
2008,Regular Season,2,September 6 2008,Saturday,,Arkansas,Home,28,,,Louisiana-Monroe,Away,27,
2008,Regular Season,2,September 6 2008,Saturday,,Arkansas State,Home,83,,,Texas Southern,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,9,Auburn,Home,27,,,Southern Mississippi,Away,13,
2008,Regular Season,2,September 6 2008,Saturday,,Baylor,Home,51,,,Northwestern State,Away,6,
2008,Regular Season,2,September 6 2008,Saturday,15,Brigham Young,Away,28,@,,Washington,Home,27,
2008,Regular Season,2,September 6 2008,Saturday,,California,Away,66,@,,Washington State,Home,3,
2008,Regular Season,2,September 6 2008,Saturday,,Clemson,Home,45,,,Citadel,Away,17,
2008,Regular Season,2,September 6 2008,Saturday,,Colorado,Home,31,,,Eastern Washington,Away,24,
2008,Regular Season,2,September 6 2008,Saturday,,Colorado State,Home,23,,,Sacramento State,Away,20,
2008,Regular Season,2,September 6 2008,Saturday,,UConn,Away,12,@,,Temple,Home,9,
2008,Regular Season,2,September 6 2008,Saturday,,East Carolina,Home,24,,8,West Virginia,Away,3,
2008,Regular Season,2,September 6 2008,Saturday,5,Florida,Home,26,,,Miami (FL),Away,3,
2008,Regular Season,2,September 6 2008,Saturday,,Florida Atlantic,Home,49,,,UAB,Away,34,
2008,Regular Season,2,September 6 2008,Saturday,,Florida State,Home,69,,,Western Carolina,Away,0,
2008,Regular Season,2,September 6 2008,Saturday,2,Georgia,Home,56,,,Central Michigan,Away,17,
2008,Regular Season,2,September 6 2008,Saturday,,Georgia Tech,Away,19,@,,Boston College,Home,16,
2008,Regular Season,2,September 6 2008,Saturday,,Hawaii,Home,36,,,Weber State,Away,17,
2008,Regular Season,2,September 6 2008,Saturday,,Idaho,Home,42,,,Idaho State,Away,27,
2008,Regular Season,2,September 6 2008,Saturday,24,Illinois,Home,47,,,Eastern Illinois,Away,21,
2008,Regular Season,2,September 6 2008,Saturday,,Indiana,Home,45,,,Murray State,Away,3,
2008,Regular Season,2,September 6 2008,Saturday,,Iowa,Home,42,,,FIU,Away,0,
2008,Regular Season,2,September 6 2008,Saturday,,Iowa State,Home,48,,,Kent State,Away,28,
2008,Regular Season,2,September 6 2008,Saturday,14,Kansas,Home,29,,,Louisiana Tech,Away,0,
2008,Regular Season,2,September 6 2008,Saturday,,Kansas State,Home,69,,,Montana State,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,,Kentucky,Home,38,,,Norfolk State,Away,3,
2008,Regular Season,2,September 6 2008,Saturday,,Louisville,Home,51,,,Tennessee Tech,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,,Michigan,Home,16,,,Miami (OH),Away,6,
2008,Regular Season,2,September 6 2008,Saturday,,Michigan State,Home,42,,,Eastern Michigan,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,,Middle Tennessee,Home,24,,,Maryland,Away,14,
2008,Regular Season,2,September 6 2008,Saturday,,Minnesota,Away,42,@,,Bowling Green,Home,17,
2008,Regular Season,2,September 6 2008,Saturday,,Mississippi State,Home,34,,,Southeastern Louisiana,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,6,Missouri,Home,52,,,Southeast Missouri State,Away,3,
2008,Regular Season,2,September 6 2008,Saturday,,Nebraska,Home,35,,,San Jose State,Away,12,
2008,Regular Season,2,September 6 2008,Saturday,,New Hampshire,Away,28,@,,Army,Home,10,
2008,Regular Season,2,September 6 2008,Saturday,,NC State,Home,34,,,William & Mary,Away,24,
2008,Regular Season,2,September 6 2008,Saturday,,Northwestern,Away,24,@,,Duke,Home,20,
2008,Regular Season,2,September 6 2008,Saturday,,Notre Dame,Home,21,,,San Diego State,Away,13,
2008,Regular Season,2,September 6 2008,Saturday,3,Ohio State,Home,26,,,Ohio,Away,14,
2008,Regular Season,2,September 6 2008,Saturday,4,Oklahoma,Home,52,,,Cincinnati,Away,26,
2008,Regular Season,2,September 6 2008,Saturday,,Oklahoma State,Home,56,,,Houston,Away,37,
2008,Regular Season,2,September 6 2008,Saturday,18,Oregon,Home,66,,,Utah State,Away,24,
2008,Regular Season,2,September 6 2008,Saturday,19,Penn State,Home,45,,,Oregon State,Away,14,
2008,Regular Season,2,September 6 2008,Saturday,,Pittsburgh,Home,27,,,Buffalo,Away,16,
2008,Regular Season,2,September 6 2008,Saturday,,Purdue,Home,42,,,Northern Colorado,Away,10,
2008,Regular Season,2,September 6 2008,Saturday,,Rice,Away,42,@,,Memphis,Home,35,
2008,Regular Season,2,September 6 2008,Saturday,17,South Florida,Away,31,@,,UCF,Home,24,
2008,Regular Season,2,September 6 2008,Saturday,,SMU,Home,47,,,Texas State,Away,36,
2008,Regular Season,2,September 6 2008,Saturday,10,Texas,Away,42,@,,UTEP,Home,13,
2008,Regular Season,2,September 6 2008,Saturday,,Texas A&M,Away,28,@,,New Mexico,Home,22,
2008,Regular Season,2,September 6 2008,Saturday,,TCU,Home,67,,,Stephen F. Austin,Away,7,
2008,Regular Season,2,September 6 2008,Saturday,12,Texas Tech,Away,35,@,,Nevada,Home,19,
2008,Regular Season,2,September 6 2008,Saturday,,Tulsa,Away,56,@,,North Texas,Home,26,
2008,Regular Season,2,September 6 2008,Saturday,22,Utah,Home,42,,,UNLV,Away,21,
2008,Regular Season,2,September 6 2008,Saturday,,Virginia,Home,16,,,Richmond,Away,0,
2008,Regular Season,2,September 6 2008,Saturday,,Virginia Tech,Home,24,,,Furman,Away,7,
2008,Regular Season,2,September 6 2008,Saturday,20,Wake Forest,Home,30,,,Ole Miss,Away,28,
2008,Regular Season,2,September 6 2008,Saturday,,Western Kentucky,Away,37,@,,Eastern Kentucky,Home,13,
2008,Regular Season,2,September 6 2008,Saturday,,Western Michigan,Home,29,,,Northern Illinois,Away,26,
2008,Regular Season,2,September 6 2008,Saturday,11,Wisconsin,Home,51,,,Marshall,Away,14,
2008,Regular Season,3,September 11 2008,Thursday,,North Carolina,Away,44,@,,Rutgers,Home,12,
2008,Regular Season,3,September 12 2008,Friday,,Baylor,Home,45,,,Washington State,Away,17,
2008,Regular Season,3,September 12 2008,Friday,,Louisiana-Monroe,Home,37,,,Alabama A&M,Away,15,
2008,Regular Season,3,September 12 2008,Friday,19,South Florida,Home,37,,13,Kansas,Away,34,
2008,Regular Season,3,September 13 2008,Saturday,,Air Force,Away,31,@,,Houston,Home,28,
2008,Regular Season,3,September 13 2008,Saturday,11,Alabama,Home,41,,,Western Kentucky,Away,7,
2008,Regular Season,3,September 13 2008,Saturday,9,Auburn,Away,3,@,,Mississippi State,Home,2,
2008,Regular Season,3,September 13 2008,Saturday,,Ball State,Away,41,@,,Akron,Home,24,
2008,Regular Season,3,September 13 2008,Saturday,,Boise State,Home,20,,,Bowling Green,Away,7,
2008,Regular Season,3,September 13 2008,Saturday,18,Brigham Young,Home,59,,,UCLA,Away,0,
2008,Regular Season,3,September 13 2008,Saturday,,Buffalo,Home,30,,,Temple,Away,28,
2008,Regular Season,3,September 13 2008,Saturday,,Central Michigan,Away,31,@,,Ohio,Home,28,
2008,Regular Season,3,September 13 2008,Saturday,,Clemson,Home,27,,,NC State,Away,9,
2008,Regular Season,3,September 13 2008,Saturday,,UConn,Home,45,,,Virginia,Away,10,
2008,Regular Season,3,September 13 2008,Saturday,,Duke,Home,41,,,Navy,Away,31,
2008,Regular Season,3,September 13 2008,Saturday,14,East Carolina,Away,28,@,,Tulane,Home,24,
2008,Regular Season,3,September 13 2008,Saturday,,Florida State,Home,46,,,Chattanooga,Away,7,
2008,Regular Season,3,September 13 2008,Saturday,2,Georgia,Away,14,@,,South Carolina,Home,7,
2008,Regular Season,3,September 13 2008,Saturday,24,Illinois,Home,20,,,Louisiana,Away,17,
2008,Regular Season,3,September 13 2008,Saturday,,Iowa,Home,17,,,Iowa State,Away,5,
2008,Regular Season,3,September 13 2008,Saturday,,Kent State,Home,24,,,Delaware State,Away,3,
2008,Regular Season,3,September 13 2008,Saturday,,Kentucky,Home,20,,,Middle Tennessee,Away,14,
2008,Regular Season,3,September 13 2008,Saturday,7,LSU,Home,41,,,North Texas,Away,3,
2008,Regular Season,3,September 13 2008,Saturday,,Marshall,Home,17,,,Memphis,Away,16,
2008,Regular Season,3,September 13 2008,Saturday,,Maryland,Home,35,,23,California,Away,27,
2008,Regular Season,3,September 13 2008,Saturday,,Miami (OH),Home,38,,,Charleston Southern,Away,27,
2008,Regular Season,3,September 13 2008,Saturday,,Michigan State,Home,17,,,Florida Atlantic,Away,0,
2008,Regular Season,3,September 13 2008,Saturday,,Minnesota,Home,35,,,Montana State,Away,23,
2008,Regular Season,3,September 13 2008,Saturday,,Ole Miss,Home,34,,,Samford,Away,10,
2008,Regular Season,3,September 13 2008,Saturday,6,Missouri,Home,69,,,Nevada,Away,17,
2008,Regular Season,3,September 13 2008,Saturday,,Nebraska,Home,38,,,New Mexico State,Away,7,
2008,Regular Season,3,September 13 2008,Saturday,,UNLV,Away,23,@,15,Arizona State,Home,20,
2008,Regular Season,3,September 13 2008,Saturday,,New Mexico,Home,36,,,Arizona,Away,28,
2008,Regular Season,3,September 13 2008,Saturday,,Northwestern,Home,33,,,Southern Illinois,Away,7,
2008,Regular Season,3,September 13 2008,Saturday,,Notre Dame,Home,35,,,Michigan,Away,17,
2008,Regular Season,3,September 13 2008,Saturday,3,Oklahoma,Away,55,@,,Washington,Home,14,
2008,Regular Season,3,September 13 2008,Saturday,,Oklahoma State,Home,57,,,Missouri State,Away,13,
2008,Regular Season,3,September 13 2008,Saturday,16,Oregon,Away,32,@,,Purdue,Home,26,
2008,Regular Season,3,September 13 2008,Saturday,,Oregon State,Home,45,,,Hawaii,Away,7,
