School,Year,SchoolTeam,Conference,HeadCoach,Pay
Clemson,2019,Clemson2019,ACC,Dabo Swinney,9315600
Alabama,2019,Alabama2019,SEC,Nick Saban,8857000
Michigan,2019,Michigan2019,Big Ten,Jim Harbaugh,7504000
Texas A&M,2019,Texas A&M2019,SEC,Jimbo Fisher,7500000
Georgia,2019,Georgia2019,SEC,Kirby Smart,6871600
Auburn,2019,Auburn2019,SEC,Gus Malzahn,6827589
Texas,2019,Texas2019,Big 12,Tom Herman,6750000
Purdue,2019,Purdue2019,Big Ten,Jeff Brohm,6600000
Oklahoma,2019,Oklahoma2019,Big 12,Lincoln Riley,6384462
Florida,2019,Florida2019,SEC,Dan Mullen,6070000
Penn State,2019,Penn State2019,Big Ten,James Franklin,5650000
Northwestern,2019,Northwestern2019,Big Ten,Pat Fitzgerald,5144937
Oklahoma State,2019,Oklahoma State2019,Big 12,Mike Gundy,5125000
Nebraska,2019,Nebraska2019,Big Ten,Scott Frost,5000000
Florida State,2019,Florida State2019,ACC,Willie Taggart,5000000
South Florida,2019,South Florida2019,American,Charlie Strong,5000000
TCU,2019,TCU2019,Big 12,Gary Patterson,4900776
Iowa,2019,Iowa2019,Big Ten,Kirk Ferentz,4800000
Kentucky,2019,Kentucky2019,SEC,Mark Stoops,4763600
Washington,2019,Washington2019,Pac-12,Chris Petersen,4625000
Stanford,2019,Stanford2019,Pac-12,David Shaw,4613707
Ohio State,2019,Ohio State2019,Big Ten,Ryan Day,4500000
South Carolina,2019,South Carolina2019,SEC,Will Muschamp,4400000
Michigan State,2019,Michigan State2019,Big Ten,Mark Dantonio,4399437
Wisconsin,2019,Wisconsin2019,Big Ten,Paul Chryst,4150000
Baylor,2019,Baylor2019,Big 12,Matt Rhule,4113734
Utah,2019,Utah2019,Pac-12,Kyle Whittingham,4002917
Arkansas,2019,Arkansas2019,SEC,Chad Morris,4000000
Illinois,2019,Illinois2019,Big Ten,Lovie Smith,4000000
LSU,2019,LSU2019,SEC,Ed Orgeron,4000000
Virginia Tech,2019,Virginia Tech2019,ACC,Justin Fuente,4000000
Tennessee,2019,Tennessee2019,SEC,Jeremy Pruitt,3846000
Washington State,2019,Washington State2019,Pac-12,Mike Leach,3750000
Virginia,2019,Virginia2019,ACC,Bronco Mendenhall,3700000
Houston,2019,Houston2019,American,Dana Holgorsen,3700000
Iowa State,2019,Iowa State2019,Big 12,Matt Campbell,3600000
Minnesota,2019,Minnesota2019,Big Ten,P.J. Fleck,3600000
UCLA,2019,UCLA2019,Pac-12,Chip Kelly,3500000
North Carolina,2019,North Carolina2019,ACC,Mack Brown,3500000
Vanderbilt,2019,Vanderbilt2019,SEC,Derek Mason,3368244
Louisville,2019,Louisville2019,ACC,Scott Satterfield,3250000
NC State,2019,NC State2019,ACC,Dave Doeren,3250000
USC,2019,USC2019,Pac-12,Clay Helton,3218935
Pittsburgh,2019,Pittsburgh2019,ACC,Pat Narduzzi,3213953
Ole Miss,2019,Ole Miss2019,SEC,Matt Luke,3100000
West Virginia,2019,West Virginia2019,Big 12,Neal Brown,3055000
Missouri,2019,Missouri2019,SEC,Barry Odom,3050000
Mississippi State,2019,Mississippi State2019,SEC,Joe Moorhead,3050000
Georgia Tech,2019,Georgia Tech2019,ACC,Geoff Collins,3000000
California,2019,California2019,Pac-12,Justin Wilcox,2854000
Texas Tech,2019,Texas Tech2019,Big 12,Matt Wells,2808300
Kansas,2019,Kansas2019,Big 12,Les Miles,2775000
Duke,2019,Duke2019,ACC,David Cutcliffe,2669345
Memphis,2019,Memphis2019,American,Mike Norvell,2660000
Boston College,2019,Boston College2019,ACC,Steve Addazio,2643012
Oregon,2019,Oregon2019,Pac-12,Mario Cristobal,2600000
Maryland,2019,Maryland2019,Big Ten,Mike Locksley,2500000
Colorado,2019,Colorado2019,Pac-12,Mel Tucker,2400000
Arizona State,2019,Arizona State2019,Pac-12,Herm Edwards,2380000
Navy,2019,Navy2019,American,Ken Niumatalolo,2316000
Rutgers,2019,Rutgers2019,Big Ten,Chris Ash,2300000
Kansas State,2019,Kansas State2019,Big 12,Chris Klieman,2300000
Cincinnati,2019,Cincinnati2019,American,Luke Fickell,2300000
UCF,2019,UCF2019,American,Josh Heupel,2300000
Syracuse,2019,Syracuse2019,ACC,Dino Babers,2268825
Wake Forest,2019,Wake Forest2019,ACC,Dave Clawson,2189063
Wyoming,2019,Wyoming2019,Mountain West,Craig Bohl,2137000
Arizona,2019,Arizona2019,Pac-12,Kevin Sumlin,2000000
Oregon State,2019,Oregon State2019,Pac-12,Jonathan Smith,1900008
North Texas,2019,North Texas2019,C-USA,Seth Littrell,1865500
Indiana,2019,Indiana2019,Big Ten,Tom Allen,1805000
Colorado State,2019,Colorado State2019,Mountain West,Mike Bobo,1800000
Boise State,2019,Boise State2019,Mountain West,Bryan Harsin,1750000
Tulsa,2019,Tulsa2019,American,Philip Montgomery,1689395
Notre Dame,2019,Notre Dame2019,Independent,Brian Kelly,1665020
Fresno State,2019,Fresno State2019,Mountain West,Jeff Tedford,1615420
Tulane,2019,Tulane2019,American,Willie Fritz,1612000
UConn,2019,UConn2019,American,Randy Edsall,1606000
UAB,2019,UAB2019,C-USA,Bill Clark,1450000
Florida Atlantic,2019,Florida Atlantic2019,C-USA,Lane Kiffin,1432000
East Carolina,2019,East Carolina2019,American,Mike Houston,1425000
Toledo,2019,Toledo2019,MAC,Jason Candle,1150000
UTSA,2019,UTSA2019,C-USA,Frank Wilson,1125000
FIU,2019,FIU2019,C-USA,Butch Davis,992250
Middle Tennessee,2019,Middle Tennessee2019,C-USA,Rick Stockstill,913504
Utah State,2019,Utah State2019,Mountain West,Gary Andersen,900000
San Diego State,2019,San Diego State2019,Mountain West,Rocky Long,879228
Louisiana,2019,Louisiana2019,Sun Belt,Billy Napier,875000
Arkansas State,2019,Arkansas State2019,Sun Belt,Blake Anderson,825182
New Mexico,2019,New Mexico2019,Mountain West,Bob Davie,823740
Western Kentucky,2019,Western Kentucky2019,C-USA,Tyson Helton,800000
Texas State,2019,Texas State2019,Sun Belt,Jake Spavital,800000
Western Michigan,2019,Western Michigan2019,MAC,Tim Lester,800000
Marshall,2019,Marshall2019,C-USA,Doc Holliday,787820
Appalachian State,2019,Appalachian State2019,Sun Belt,Eliah Drinkwitz,750000
UTEP,2019,UTEP2019,C-USA,Dana Dimel,711999
Louisiana Tech,2019,Louisiana Tech2019,C-USA,Skip Holtz,704000
Charlotte,2019,Charlotte2019,C-USA,Will Healy,700000
Georgia Southern,2019,Georgia Southern2019,Sun Belt,Chad Lunsford,680000
Old Dominion,2019,Old Dominion2019,C-USA,Bobby Wilder,661851
Ohio,2019,Ohio2019,MAC,Frank Solich,654928
Central Michigan,2019,Central Michigan2019,MAC,Jim McElwain,640900
UMass,2019,UMass2019,Independent,Walt Bell,635000
South Alabama,2019,South Alabama2019,Sun Belt,Steve Campbell,619000
