Survey Year,UNITID,Institution Name,School,School Year,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Football Men's Team Operating Expenses,Football Women's Team Operating Expenses,Football Coed Team Operating Expenses,Football Total Operating Expenses,Grand Total Operating Expenses
2008,197869,Appalachian State University,Appalachian State,Appalachian State2008,NC,NCAA Division I-AA,,1,NCAA,6806,6819,13625,689871,0,,689871,1644903
2008,104151,Arizona State University,Arizona State,Arizona State2008,AZ,NCAA Division I-A,,1,NCAA,20844,22182,43026,3889454,0,,3889454,8171275
2008,106458,Arkansas State University-Main Campus,Arkansas State,Arkansas State2008,AR,NCAA Division I-A,,1,NCAA,3121,4400,7521,794808,0,,794808,1966212
2008,100858,Auburn University Main Campus,Auburn,Auburn2008,AL,NCAA Division I-A,,1,NCAA,9258,9119,18377,3374474,0,,3374474,8149557
2008,150136,Ball State University,Ball State,Ball State2008,IN,NCAA Division I-A,,1,NCAA,7561,8058,15619,798623,0,,798623,2397897
2008,223232,Baylor University,Baylor,Baylor2008,TX,NCAA Division I-A,,1,NCAA,4931,6916,11847,1766991,0,,1766991,6428471
2008,142115,Boise State University,Boise State,Boise State2008,ID,NCAA Division I-A,,1,NCAA,5430,6085,11515,1502184,0,,1502184,3490824
2008,164924,Boston College,Boston College,Boston College2008,MA,NCAA Division I-A,,1,NCAA,4485,4773,9258,4523895,0,,4523895,8957701
2008,201441,Bowling Green State University-Main Campus,Bowling Green,Bowling Green2008,OH,NCAA Division I-A,,1,NCAA,6346,7348,13694,771899,0,,771899,1800907
2008,230038,Brigham Young University,Brigham Young,Brigham Young2008,UT,NCAA Division I-A,,1,NCAA,14195,13791,27986,1702963,0,,1702963,5310488
2008,110556,California State University-Fresno,Fresno State,Fresno State2008,CA,NCAA Division I-A,,1,NCAA,6715,9002,15717,1743700,0,,1743700,4926311
2008,169248,Central Michigan University,Central Michigan,Central Michigan2008,MI,NCAA Division I-A,,1,NCAA,8037,9852,17889,1650215,0,,1650215,2828784
2008,217882,Clemson University,Clemson,Clemson2008,SC,NCAA Division I-A,,1,NCAA,7366,6368,13734,4121746,0,,4121746,7221025
2008,218724,Coastal Carolina University,Coastal Carolina,Coastal Carolina2008,SC,NCAA Division I-AA,,1,NCAA,3268,3592,6860,642235,0,,642235,2029394
2008,126818,Colorado State University,Colorado State,Colorado State2008,CO,NCAA Division I-A,,1,NCAA,9275,10225,19500,1852530,0,,1852530,3312089
2008,198419,Duke University,Duke,Duke2008,NC,NCAA Division I-A,,1,NCAA,3255,3085,6340,5869292,0,,5869292,16255699
2008,198464,East Carolina University,East Carolina,East Carolina2008,NC,NCAA Division I-A,,1,NCAA,7591,10607,18198,2492075,0,,2492075,5109098
2008,169798,Eastern Michigan University,Eastern Michigan,Eastern Michigan2008,MI,NCAA Division I-A,,1,NCAA,5189,7045,12234,590588,0,,590588,1733325
2008,133669,Florida Atlantic University,Florida Atlantic,Florida Atlantic2008,FL,NCAA Division I-A,,1,NCAA,5471,6887,12358,1390182,0,,1390182,2971458
2008,133951,Florida International University,FIU,FIU2008,FL,NCAA Division I-A,,1,NCAA,8166,10806,18972,1346225,0,,1346225,3045920
2008,134097,Florida State University,Florida State,Florida State2008,FL,NCAA Division I-A,,1,NCAA,11588,14677,26265,4050687,0,,4050687,9877511
2008,139755,Georgia Institute of Technology-Main Campus,Georgia Tech,Georgia Tech2008,GA,NCAA Division I-A,,1,NCAA,8357,3597,11954,3777621,0,,3777621,7970083
2008,139931,Georgia Southern University,Georgia Southern,Georgia Southern2008,GA,NCAA Division I-AA,,1,NCAA,7159,6560,13719,320657,0,,320657,1051410
2008,139940,Georgia State University,Georgia State,Georgia State2008,GA,NCAA Division I-AAA,,1,NCAA,6115,9249,15364,,,,,1782128
2008,151351,Indiana University-Bloomington,Indiana,Indiana2008,IN,NCAA Division I-A,,1,NCAA,14867,15139,30006,1491025,0,,1491025,6286538
2008,153603,Iowa State University,Iowa State,Iowa State2008,IA,NCAA Division I-A,,1,NCAA,11347,8868,20215,2103144,0,,2103144,6327218
2008,155399,Kansas State University,Kansas State,Kansas State2008,KS,NCAA Division I-A,,1,NCAA,8451,7695,16146,2032784,0,,2032784,5905356
2008,203517,Kent State University Kent Campus,Kent State,Kent State2008,OH,NCAA Division I-A,,1,NCAA,6476,9299,15775,486892,0,,486892,1599572
2008,232557,Liberty University,Liberty,Liberty2008,VA,NCAA Division I-AA,,1,NCAA,6633,7912,14545,355210,0,,355210,1070246
2008,159391,Louisiana State University and Agricultural & Mechanical College,LSU,LSU2008,LA,NCAA Division I-A,,1,NCAA,10632,11135,21767,3558327,0,,3558327,8441100
2008,159647,Louisiana Tech University,Louisiana Tech,Louisiana Tech2008,LA,NCAA Division I-A,,1,NCAA,3467,2976,6443,1910916,0,,1910916,3879594
2008,237525,Marshall University,Marshall,Marshall2008,WV,NCAA Division I-A,,1,NCAA,3439,4229,7668,1559746,0,,1559746,4130437
2008,204024,Miami University-Oxford,Miami (OH),Miami (OH)2008,OH,NCAA Division I-A,,1,NCAA,6868,7917,14785,493034,0,,493034,2615229
2008,171100,Michigan State University,Michigan State,Michigan State2008,MI,NCAA Division I-A,,1,NCAA,15425,17671,33096,3662366,0,,3662366,10020044
2008,220978,Middle Tennessee State University,Middle Tennessee,Middle Tennessee2008,TN,NCAA Division I-A,,1,NCAA,8767,9359,18126,993843,0,,993843,2858850
2008,176080,Mississippi State University,Mississippi State,Mississippi State2008,MS,NCAA Division I-A,,1,NCAA,6569,5986,12555,944477,0,,944477,3322948
2008,188030,New Mexico State University-Main Campus,New Mexico State,New Mexico State2008,NM,NCAA Division I-A,,1,NCAA,5357,6396,11753,2355202,0,,2355202,5677732
2008,199193,North Carolina State University at Raleigh,NC State,NC State2008,NC,NCAA Division I-A,,1,NCAA,11947,9407,21354,1795373,0,,1795373,5075132
2008,147703,Northern Illinois University,Northern Illinois,Northern Illinois2008,IL,NCAA Division I-A,,1,NCAA,8065,8405,16470,1976017,0,,1976017,3570816
2008,147767,Northwestern University,Northwestern,Northwestern2008,IL,NCAA Division I-A,,1,NCAA,3972,4369,8341,2947622,0,,2947622,6281613
2008,204796,Ohio State University-Main Campus,Ohio State,Ohio State2008,OH,NCAA Division I-A,,1,NCAA,19375,16958,36333,5196663,0,,5196663,11743269
2008,204857,Ohio University-Main Campus,Ohio,Ohio2008,OH,NCAA Division I-A,,1,NCAA,8046,8158,16204,1004746,0,,1004746,2394249
2008,207388,Oklahoma State University-Main Campus,Oklahoma State,Oklahoma State2008,OK,NCAA Division I-A,,1,NCAA,7989,7483,15472,2540294,0,,2540294,6105470
2008,232982,Old Dominion University,Old Dominion,Old Dominion2008,VA,NCAA Division I-AAA,,1,NCAA,5824,6930,12754,725928,0,,725928,2915213
2008,209542,Oregon State University,Oregon State,Oregon State2008,OR,NCAA Division I-A,,1,NCAA,7536,6385,13921,2781845,0,,2781845,5880380
2008,214777,Pennsylvania State University-Main Campus,Penn State,Penn State2008,PA,NCAA Division I-A,,1,NCAA,19911,16418,36329,2227374,0,,2227374,8208578
2008,243780,Purdue University-Main Campus,Purdue,Purdue2008,IN,NCAA Division I-A,,1,NCAA,17980,12704,30684,2725793,0,,2725793,7105873
2008,227757,Rice University,Rice,Rice2008,TX,NCAA Division I-A,,1,NCAA,1617,1485,3102,1409860,0,,1409860,4263983
2008,186380,Rutgers University-New Brunswick,Rutgers,Rutgers2008,NJ,NCAA Division I-A,,1,NCAA,13565,12817,26382,5563170,0,,5563170,9483332
2008,122409,San Diego State University,San Diego State,San Diego State2008,CA,NCAA Division I-A,,1,NCAA,10396,13893,24289,1923001,0,,1923001,5778862
2008,122755,San Jose State University,San Jose State,San Jose State2008,CA,NCAA Division I-A,,1,NCAA,9590,10214,19804,1949306,0,,1949306,3699543
2008,228246,Southern Methodist University,SMU,SMU2008,TX,NCAA Division I-A,,1,NCAA,2757,3163,5920,1665504,0,,1665504,4462996
2008,243744,Stanford University,Stanford,Stanford2008,CA,NCAA Division I-A,,1,NCAA,3321,3181,6502,2533045,0,,2533045,8248556
2008,196413,Syracuse University,Syracuse,Syracuse2008,NY,NCAA Division I-A,,1,NCAA,5564,7064,12628,2188307,0,,2188307,7275430
2008,216339,Temple University,Temple,Temple2008,PA,NCAA Division I-A,,1,NCAA,10606,12295,22901,1278112,0,,1278112,3361386
2008,228723,Texas A & M University,Texas A&M,Texas A&M2008,TX,NCAA Division I-A,,1,NCAA,18276,16927,35203,2684189,0,,2684189,8302983
2008,228875,Texas Christian University,TCU,TCU2008,TX,NCAA Division I-A,,1,NCAA,2886,4215,7101,2765629,0,,2765629,6216427
2008,228459,Texas State University-San Marcos,Texas State,Texas State2008,TX,NCAA Division I-AA,,1,NCAA,9175,10970,20145,418284,0,,418284,1534603
2008,229115,Texas Tech University,Texas Tech,Texas Tech2008,TX,NCAA Division I-A,,1,NCAA,11796,9407,21203,3041472,0,,3041472,7051334
2008,100751,The University of Alabama,Alabama,Alabama2008,AL,NCAA Division I-A,,1,NCAA,9632,10765,20397,3646957,0,,3646957,7891850
2008,221759,The University of Tennessee,Tennessee,Tennessee2008,TN,NCAA Division I-A,,1,NCAA,10157,10095,20252,3021169,0,,3021169,8431089
2008,228778,The University of Texas at Austin,Texas,Texas2008,TX,NCAA Division I-A,,1,NCAA,16417,17955,34372,5580965,0,,5580965,14906380
2008,228796,The University of Texas at El Paso,UTEP,UTEP2008,TX,NCAA Division I-A,,1,NCAA,5165,5902,11067,2151079,0,,2151079,4719105
2008,229027,The University of Texas at San Antonio,UTSA,UTSA2008,TX,NCAA Division I-AAA,,1,NCAA,9510,9865,19375,,,,,1344301
2008,102368,Troy University,Troy,Troy2008,AL,NCAA Division I-A,,1,NCAA,3904,6327,10231,629161,0,,629161,1651010
2008,160755,Tulane University of Louisiana,Tulane,Tulane2008,LA,NCAA Division I-A,,1,NCAA,2456,2783,5239,666931,0,,666931,2019592
2008,196088,University at Buffalo,Buffalo,Buffalo2008,NY,NCAA Division I-A,,1,NCAA,9536,8150,17686,1291407,0,,1291407,3363731
2008,200800,University of Akron Main Campus,Akron,Akron2008,OH,NCAA Division I-A,,1,NCAA,7771,7264,15035,740890,0,,740890,2387601
2008,100663,University of Alabama at Birmingham,UAB,UAB2008,AL,NCAA Division I-A,,1,NCAA,3069,4442,7511,900318,0,,900318,2989200
2008,104179,University of Arizona,Arizona,Arizona2008,AZ,NCAA Division I-A,,1,NCAA,12185,13629,25814,3593350,0,,3593350,8260885
2008,106397,University of Arkansas Main Campus,Arkansas,Arkansas2008,AR,NCAA Division I-A,,1,NCAA,6652,6315,12967,3498785,0,,3498785,9378808
2008,110635,University of California-Berkeley,California,California2008,CA,NCAA Division I-A,,1,NCAA,11409,12976,24385,5096961,0,,5096961,10984803
2008,110662,University of California-Los Angeles,UCLA,UCLA2008,CA,NCAA Division I-A,,1,NCAA,11374,14255,25629,3726569,0,,3726569,8729334
2008,132903,University of Central Florida,UCF,UCF2008,FL,NCAA Division I-A,,1,NCAA,14510,17678,32188,1115663,0,,1115663,3002970
2008,201885,University of Cincinnati-Main Campus,Cincinnati,Cincinnati2008,OH,NCAA Division I-A,,1,NCAA,9005,8209,17214,4195026,0,,4195026,7747977
