School,Mascot,City,State,Zip,Enrollment,CurrentConference,PreviousConferences,FirstPlayed,JoinedFBS
Air Force,Falcons,Colorado Springs,Colorado,80840,4237,Mountain West,WAC,1955,
Akron,Zips,Akron,Ohio,44325,19200,MAC,"OAC, MCC, OVC",1891,1987
Alabama,Crimson Tide,Tuscaloosa,Alabama,35487,38500,SEC,"SIAA, SoCon",1892,
Appalachian State,Mountaineers,Boone,North Carolina,28608,19100,Sun Belt,"NSC, SoCon",1928,2014
Arizona,Wildcats,Tucson,Arizona,85721,45200,Pac-12,"BIAA, WAC",1899,
Arizona State,Sun Devils,Tempe,Arizona,85281,51800,Pac-12,"BIAA, WAC",1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,72701,27800,SEC,SWC,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,72467,22000,Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992
Army,Black Knights,West Point,New York,10996,4300,Independent,C-USA,1890,
Auburn,Tigers,Auburn,Alabama,36849,30400,SEC,"SIAA, SoCon",1892,
Ball State,Cardinals,Muncie,Indiana,47306,22500,MAC,"IIC, ICC",1924,
Baylor,Bears,Waco,Texas,76798,17200,Big 12,"TIAA, SWC",1899,
Boise State,Broncos,Boise,Idaho,83725,25500,Mountain West,"ICAC, Big Sky, Big West, WAC",1933,1996
Boston College,Eagles,Chestnut Hill,Massachusetts,02467,14700,ACC,Big East,1893,
Bowling Green,Falcons,Bowling Green,Ohio,43403,23000,MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,
Buffalo,Bulls,Buffalo,New York,14260,31500,MAC,New York State Conference,1894,1999
Brigham Young,Cougars,Provo,Utah,84602,33600,Independent,"Rocky Mountain, Mountain States, WAC, MW",1922,
California,Golden Bears,Berkeley,California,94720,42500,Pac-12,PCC,1882,
Central Michigan,Chippewas,Mount Pleasant,Michigan,48859,21700,MAC,"MCC, IIAC",1896,
Charlotte,49ers,Charlotte,North Carolina,28223,29700,C-USA,"Sun Belt, C-USA, A-10",2013,2015
Cincinnati,Bearcats,Cincinnati,Ohio,45221,46000,American,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,
Clemson,Tigers,Clemson,South Carolina,29634,25000,ACC,"SIAA, SAIAA, SoCon",1896,
Coastal Carolina,Chanticleers,Conway,South Carolina,29526,10600,Sun Belt,Big South,2003,2017
Colorado,Buffaloes,Boulder,Colorado,80309,33200,Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,
Colorado State,Rams,Fort Collins,Colorado,80523,33800,Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,
Duke,Blue Devils,Durham,North Carolina,27708,15900,ACC,SoCon,1888,
East Carolina,Pirates,Greenville,North Carolina,27858,29100,American,"NSC, Carolinas, SoCon, C-USA",1932,
Eastern Michigan,Eagles,Ypsilanti,Michigan,48197,20300,MAC,"MIAA, MCC, IIAC, PAC",1891,
FIU,Panthers,Miami,Florida,33199,56800,C-USA,Sun Belt,2002,2006
Florida,Gators,Gainesville,Florida,32611,56100,SEC,"SIAA, SoCon",1906,
Florida Atlantic,Owls,Boca Raton,Florida,33431,30800,C-USA,Sun Belt,2001,2006
Florida State,Seminoles,Tallahassee,Florida,32306,41900,ACC,Dixie,1947,
Fresno State,Bulldogs,Fresno,California,93740,25000,Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,
Georgia,Bulldogs,Athens,Georgia,30602,38200,SEC,"SIAA, SoCon",1892,
Georgia Southern,Eagles,Statesboro,Georgia,30460,26400,Sun Belt,SoCon,1924,2014
Georgia State,Panthers,Atlanta,Georgia,30302,52800,Sun Belt,CAA,2010,2013
Georgia Tech,Yellow Jackets,Atlanta,Georgia,30332,32700,ACC,"SIAA, SoCon, SEC",1892,
Hawaii,Rainbow Warriors,Honolulu,Hawaii,96822,17700,Mountain West,WAC,1909,
Houston,Cougars,Houston,Texas,77004,42700,American,"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 3]",1946,
Illinois,Fighting Illini,Urbana–Champaign,Illinois,61820,51200,Big Ten,Illinois Intercollegiate Football League,1890,
Indiana,Hoosiers,Bloomington,Indiana,47405,43700,Big Ten,IIAA,1887,
Iowa,Hawkeyes,Iowa City,Iowa,52242,33000,Big Ten,"WIUFA, MVC",1889,
Iowa State,Cyclones,Ames,Iowa,50011,33400,Big 12,"MVC, Big 8",1892,
Kansas,Jayhawks,Lawrence,Kansas,66045,27700,Big 12,"KCAC, WIUFA, MVC, Big 8",1890,
Kansas State,Wildcats,Manhattan,Kansas,66506,21700,Big 12,"MVC, Big 8",1896,
Kent State,Golden Flashes,Kent,Ohio,44240,39300,MAC,OAC,1920,
Kentucky,Wildcats,Lexington,Kentucky,40506,29200,SEC,"SIAA, SoCon",1881,
Liberty,Flames,Lynchburg,Virginia,24515,15000,Independent,Big South,1973,2018
Louisiana,Ragin Cajuns,Lafayette,Louisiana,70504,19200,Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,
Louisiana-Monroe,Warhawks,Monroe,Louisiana,71209,8800,Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994
Louisiana Tech,Bulldogs,Ruston,Louisiana,71272,12400,C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989
Louisville,Cardinals,Louisville,Kentucky,40292,22600,ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,
LSU,Tigers,Baton Rouge,Louisiana,70803,30800,SEC,"SIAA, SoCon",1893,
Marshall,Thundering Herd,Huntington,West Virginia,25755,13200,C-USA,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1895,1997
Maryland,Terrapins,College Park,Maryland,20742,41200,Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,
Memphis,Tigers,Memphis,Tennessee,38152,21500,American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 3]",1912,
Miami (FL),Hurricanes,Coral Gables,Florida,33124,17300,ACC,"SIAA, Big East",1926,
Miami (OH),RedHawks,Oxford,Ohio,45056,24300,MAC,"OAC, Buckeye Conference",1888,
Michigan,Wolverines,Ann Arbor,Michigan,48109,46000,Big Ten,,1879,
Michigan State,Spartans,East Lansing,Michigan,48824,50300,Big Ten,MIAA,1885,
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee,37132,21900,C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999
Minnesota,Golden Gophers,Minneapolis,Minnesota,55455,47800,Big Ten,,1882,
Mississippi State,Bulldogs,Starkville,Mississippi,39762,22200,SEC,"SIAA, SoCon",1895,
Missouri,Tigers,Columbia,Missouri,65211,30000,SEC,"WIUFA, Big 8, Big 12",1890,
Navy,Midshipmen,Annapolis,Maryland,21402,4600,American,Independent,1879,
NC State,Wolfpack,Raleigh,North Carolina,27607,35500,ACC,"SAIAA, SIAA, SoCon",1892,
Nebraska,Cornhuskers,Lincoln,Nebraska,68588,25800,Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,
Nevada,Wolf Pack,Reno,Nevada,89557,21600,Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992
New Mexico,Lobos,Albuquerque,New Mexico,87131,26300,Mountain West,"BIAA, WAC",1892,
New Mexico State,Aggies,Las Cruces,New Mexico,88003,21900,Independent,"BIAA, MVC, Big West, Sun Belt, WAC",1893,
North Carolina,Tar Heels,Chapel Hill,North Carolina,27599,29800,ACC,"SAIAA, SIAA, SoCon",1888,
North Texas,Mean Green,Denton,Texas,76203,39400,C-USA,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1913,1995
Northern Illinois,Huskies,DeKalb,Illinois,60115,20000,MAC,"IIAC, Big West",1899,
Northwestern,Wildcats,Evanston,Illinois,60201,21200,Big Ten,,1876,
Notre Dame,Fighting Irish,South Bend,Indiana,46556,12300,Independent,,1887,
Ohio,Bobcats,Athens,Ohio,45701,34900,MAC,"OAC, Buckeye Conference",1894,
Ohio State,Buckeyes,Columbus,Ohio,43210,68100,Big Ten,OAC,1889,
Oklahoma,Sooners,Norman,Oklahoma,73019,28500,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,
Oklahoma State,Cowboys,Stillwater,Oklahoma,74078,25300,Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,
Old Dominion,Monarchs,Norfolk,Virginia,23508,25000,C-USA,CAA,2009,2014
Ole Miss,Rebels,Oxford,Mississippi,38655,23200,SEC,"SIAA, SoCon",1890,
Oregon,Ducks,Eugene,Oregon,97403,22700,Pac-12,"PCC, Independent",1894,
Oregon State,Beavers,Corvallis,Oregon,97331,30900,Pac-12,"PCC, Independent",1893,
Penn State,Nittany Lions,University Park,Pennsylvania,16802,46600,Big Ten,,1881,
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,15213,28600,ACC,Big East,1890,
Purdue,Boilermakers,West Lafayette,Indiana,47907,43400,Big Ten,IIAA,1887,
Rice,Owls,Houston,Texas,77251,7100,C-USA,"TIAA, SWC, WAC",1912,
Rutgers,Scarlet Knights,Piscataway,New Jersey,08854,70900,Big Ten,"Middle Atlantic, Big East, American",1869,
San Diego State,Aztecs,San Diego,California,92182,34900,Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969
San Jose State,Spartans,San Jose,California,95192,32800,Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,
SMU,Mustangs,University Park,Texas,75275,11800,American,"TIAA, SWC, WAC, C-USA[n 3]",1915,
South Alabama,Jaguars,Mobile,Alabama,36688,15100,Sun Belt,,2009,2012
South Carolina,Gamecocks,Columbia,South Carolina,29225,50100,SEC,"SIAA, SoCon, ACC",1892,
South Florida,Bulls,Tampa,Florida,33620,50700,American,"C-USA, Big East",1997,2001
Southern Mississippi,Golden Eagles,Hattiesburg,Mississippi,39406,14500,C-USA,"Gulf States Conference, SIAA",1912,
Stanford,Cardinal,Stanford,California,94305,16500,Pac-12,PCC,1891,
Syracuse,Orange,Syracuse,New York,13244,22900,ACC,Big East,1889,
TCU,Horned Frogs,Fort Worth,Texas,76109,10400,Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,
Temple,Owls,Philadelphia,Pennsylvania,19122,40000,American,"Middle Atlantic, Big East, MAC, Big East",1894,
Tennessee,Volunteers,Knoxville,Tennessee,37996,28900,SEC,"SIAA, SoCon",1891,
Texas,Longhorns,Austin,Texas,78712,51800,Big 12,"SIAA, TIAA, SWC",1893,
