College,Conference,Stadium,Capacity,Opened
Michigan,Big Ten,Michigan Stadium,107601,1927
Penn State,Big Ten,Beaver Stadium,106572,1960
Ohio State,Big Ten,Ohio Stadium,104944,1922
Texas A&M,SEC,Kyle Field,102733,1904
Tennessee,SEC,Neyland Stadium,102521,1921
Alabama,SEC,Bryant Denny Stadium,101821,1929
LSU,SEC,Tiger Stadium,100500,1924
Texas,Big 12,Royal Memorial Stadium,100119,1924
USC,Pac-12,Los Angeles Coliseum,93607,1923
Georgia,SEC,Sanford Stadium,92746,1929
Nebraska,Big Ten,Memorial Stadium,92000,1923
UCLA,Pac-12,Rose Bowl,89702,1921
Florida,SEC,Ben Hill Griffin Stadium,88548,1930
Auburn,SEC,Jordan Hare Stadium,87451,1939
Oklahoma,Big 12,Memorial Stadium,84000,1925
Florida State,ACC,Doak Campbell Stadium,82300,1950
Clemson,ACC,Memorial Stadium,81500,1942
Wisconsin,Big Ten,Camp Randall Stadium,80321,1917
South Carolina,SEC,Williams Brice Stadium,80250,1934
Notre Dame,Independent,Notre Dame Stadium,77622,1930
Michigan State,Big Ten,Spartan Stadium,75005,1923
Arkansas,SEC,Razorback Stadium,72000,1938
UAB,C-USA,Legion Field,71594,1927
Missouri,SEC,Faurot Field,71004,1927
Iowa,Big Ten,Kinnick Stadium,70585,1929
San Diego State,Mountain West,Qualcomm Stadium,70561,1967
Washington,Pac-12,Husky Stadium,70138,1920
Umass,MAC,Gillette Stadium,68756,2002
Temple,American,Lincoln Financial Field,68532,2003
Virginia Tech,ACC,Lane Stadium,66233,1965
South Florida,American,Raymond James Stadium,65857,1998
Pittsburgh,ACC,Heinz Field,65500,2001
Miami (FL),ACC,Hard Rock Stadium,65236,1987
UTSA,C-USA,Alamodome,65000,1993
Mississippi State,SEC,Davis Wade Stadium,64038,1914
Brigham Young,Independent,LaVell Edwards Stadium,63725,1965
North Carolina,ACC,Kenan Stadium,62980,1927
California,Pac-12,Memorial Stadium,62717,1923
Purdue,Big Ten,Ross Ade Stadium,62500,1924
Memphis,American,Liberty Bowl,62380,1965
Virginia,ACC,Scott Stadium,61500,1931
Iowa State,Big 12,Jack Trice Stadium,61000,1975
Kentucky,SEC,Kroger Field,61000,1973
Texas Tech,Big 12,Jones AT&T Stadium,60862,1947
Illinois,Big Ten,Memorial Stadium,60670,1923
Oklahoma State,Big 12,Boone Pickens Stadium,60218,1920
West Virginia,Big 12,Mountaineer Field,60000,1980
Ole Miss,SEC,Vaught Hemingway Stadium,58580,1915
NC State,ACC,Carter Finley Stadium,57583,1966
Arizona State,Pac-12,Sun Devil Stadium,56232,1958
Arizona,Pac-12,Arizona Stadium,56037,1928
Georgia Tech,ACC,Bobby Dodd Stadium,55000,1913
Louisville,ACC,Papa John’s Cardinal Stadium,55000,1998
Maryland,Big Ten,Maryland Stadium,54000,1950
Oregon,Pac-12,Autzen Stadium,54000,1967
Colorado,Pac-12,Folsom Field,53750,1924
Indiana,Big Ten,Memorial Stadium,52959,1960
Rutgers,Big Ten,High Point Solutions Stadium,52454,1994
Air Force,Mountain West,Falcon Stadium,52237,1962
UTEP,C-USA,Sun Bowl Stadium,51500,1963
Minnesota,Big Ten,TCF Bank Stadium,50805,2009
Kansas,Big 12,Memorial Stadium,50071,1921
East Carolina,American,Dowdy Ficklen Stadium,50000,1963
Kansas State,Big 12,Bill Snyder Football Stadium,50000,1968
Hawaii,Mountain West,Aloha Stadium,50000,1975
Stanford,Pac-12,Stanford Stadium,50000,1921
Syracuse,ACC,Carrier Dome,49250,1980
Northwestern,Big Ten,Ryan Field,47130,1926
Rice,C-USA,Rice Stadium,47000,1950
Oregon State,Pac-12,Reser Stadium,45674,1953
