Year,School,Conference,Division,Wins,Losses,WinningPercentage,ConferenceWins,ConferenceLosses,ConferenceWinningPercentage,PointsScoredPerGame,PointsAgainstPerGame,SimpleRatingSystem,StrengthofSchedule,APPreseasonRank,APHighRank,APFinalRank,Notes
2008,Boston College,ACC ,Atlantic,9,5,0.643,5,3,0.625,24.7,18.4,6.72,2.15,,18,,
2008,Florida State,ACC ,Atlantic,9,4,0.692,5,3,0.625,33.4,20.2,10.67,2.67,,16,21,
2008,Maryland,ACC ,Atlantic,8,5,0.615,4,4,0.5,21.8,22.5,2.96,1.73,,22,,
2008,Wake Forest,ACC ,Atlantic,8,5,0.615,4,4,0.5,21,18.3,7.45,4.68,23,16,,
2008,Clemson,ACC ,Atlantic,7,6,0.538,4,4,0.5,25.2,17.3,6.97,2.51,9,9,,
2008,NC State,ACC ,Atlantic,6,7,0.462,4,4,0.5,23.5,26.3,1.41,3.57,,,,
2008,Virginia Tech,ACC ,Coastal,10,4,0.714,5,3,0.625,22.1,16.7,8.14,2.43,17,15,15,
2008,Georgia Tech,ACC ,Coastal,9,4,0.692,5,3,0.625,24.4,20.3,6.78,1.7,,14,22,
2008,North Carolina,ACC ,Coastal,8,5,0.615,4,4,0.5,27.7,21.2,7.9,2.67,,17,,record adjusted to 0-5-0 by NCAA
2008,Miami (FL),ACC ,Coastal,7,6,0.538,4,4,0.5,27.1,24.2,4.85,3.62,,23,,
2008,Virginia,ACC ,Coastal,5,7,0.417,3,5,0.375,16.1,21.7,1.4,4.57,,,,
2008,Duke,ACC ,Coastal,4,8,0.333,1,7,0.125,20.1,23.4,-0.39,3.28,,,,
2008,Missouri,Big 12 ,North,10,4,0.714,5,3,0.625,42.2,27.2,13.11,4.54,6,3,19,
2008,Nebraska,Big 12 ,North,9,4,0.692,5,3,0.625,35.4,28.5,10.92,3.69,,,,
2008,Kansas,Big 12 ,North,8,5,0.615,4,4,0.5,33.4,28.8,9.23,4,14,13,,
2008,Colorado,Big 12 ,North,5,7,0.417,2,6,0.25,20.2,29.3,-1.07,4.1,,,,
2008,Kansas State,Big 12 ,North,5,7,0.417,2,6,0.25,34.9,35.8,-3.39,0.78,,,,
2008,Iowa State,Big 12 ,North,2,10,0.167,0,8,0,25.3,35.8,-7.8,1.11,,,,
2008,Oklahoma,Big 12 ,South,12,2,0.857,7,1,0.875,51.1,24.5,24.79,6.72,4,1,5,
2008,Texas,Big 12 ,South,12,1,0.923,7,1,0.875,42.4,18.8,23.98,6.05,11,1,4,
2008,Texas Tech,Big 12 ,South,11,2,0.846,7,1,0.875,43.8,27.8,15.46,3,12,2,12,
2008,Oklahoma State,Big 12 ,South,9,4,0.692,5,3,0.625,40.8,28.1,13.09,3.78,,7,16,
2008,Baylor,Big 12 ,South,4,8,0.333,2,6,0.25,28,29.3,2.59,5.68,,,,
2008,Texas A&M,Big 12 ,South,4,8,0.333,2,6,0.25,25,37.4,-5.38,4.12,,,,
2008,Cincinnati,Big East,,11,3,0.786,6,1,0.857,25.9,20.1,6.03,-0.19,,12,17,
2008,Pittsburgh,Big East,,9,4,0.692,5,2,0.714,27.1,21.5,8.87,3.17,25,17,,
2008,Rutgers,Big East,,8,5,0.615,5,2,0.714,29,18.8,6.35,-0.26,,,,
2008,West Virginia,Big East,,9,4,0.692,5,2,0.714,24.5,17,7.09,0.09,8,8,23,
2008,UConn,Big East,,8,5,0.615,3,4,0.429,24.9,19.8,4.67,0.75,,24,,
2008,South Florida,Big East,,8,5,0.615,2,5,0.286,27.6,20,4.45,-0.62,19,10,,
2008,Louisville,Big East,,5,7,0.417,1,6,0.143,24.7,29.8,-3.83,-0.33,,,,
2008,Syracuse,Big East,,3,9,0.25,1,6,0.143,18.1,32.7,-9,2.84,,,,
2008,Penn State,Big Ten,,11,2,0.846,7,1,0.875,38.9,14.4,17.82,1.97,22,3,8,
2008,Ohio State,Big Ten,,10,3,0.769,7,1,0.875,27.6,13.9,13.94,3.87,2,2,9,
2008,Michigan State,Big Ten,,9,4,0.692,6,2,0.75,25.1,22.1,7.92,3.15,,17,24,
2008,Iowa,Big Ten,,9,4,0.692,5,3,0.625,30.3,13,11.11,0.57,,20,20,
2008,Northwestern,Big Ten,,9,4,0.692,5,3,0.625,24.4,20.2,4.82,-0.11,,22,,
2008,Minnesota,Big Ten,,7,6,0.538,3,5,0.375,23.2,24.8,0.01,0.09,,20,,
2008,Wisconsin,Big Ten,,7,6,0.538,3,5,0.375,27.5,26.5,1.82,1.13,13,8,,
2008,Illinois,Big Ten,,5,7,0.417,3,5,0.375,28.7,26.6,2.96,2.04,20,20,,
2008,Purdue,Big Ten,,4,8,0.333,2,6,0.25,24.7,25.1,-0.54,3.04,,,,
2008,Michigan,Big Ten,,3,9,0.25,2,6,0.25,20.3,28.9,-4.66,3,,,,
2008,Indiana,Big Ten,,3,9,0.25,1,7,0.125,20.5,35.3,-8.73,1.44,,,,
2008,East Carolina,C-USA ,East,9,5,0.643,6,2,0.75,23.4,21.1,1.58,-1.49,,14,,
2008,Southern Mississippi,C-USA ,East,7,6,0.538,4,4,0.5,30.6,24.1,0.46,-3.24,,,,
2008,Memphis,C-USA ,East,6,7,0.462,4,4,0.5,27.2,27.2,-5.62,-4.77,,,,
2008,Marshall,C-USA ,East,4,8,0.333,3,5,0.375,20.5,27.7,-7.66,-1,,,,
2008,UAB,C-USA ,East,4,8,0.333,3,5,0.375,22.8,31.3,-9.78,-3.61,,,,
2008,UCF,C-USA ,East,4,8,0.333,3,5,0.375,16.6,24.1,-8.39,-2.98,,,,
2008,Rice,C-USA ,West,10,3,0.769,7,1,0.875,41.3,33.3,3.92,-3.55,,,,
2008,Tulsa,C-USA ,West,11,3,0.786,7,1,0.875,47.2,27.9,7.06,-6.58,,19,,
2008,Houston,C-USA ,West,8,5,0.615,6,2,0.75,40.6,30.9,2.21,-3.4,,,,
2008,UTEP,C-USA ,West,5,7,0.417,4,4,0.5,32.9,37,-4.95,-1.45,,,,
2008,Tulane,C-USA ,West,2,10,0.167,1,7,0.125,16.7,34.5,-15.77,-1.77,,,,
2008,SMU,C-USA ,West,1,11,0.083,0,8,0,21.3,38.2,-14.5,-0.58,,,,
2008,Western Kentucky,Independent,,2,10,0.167,0,5,0,17.5,27.2,-13.78,-4.44,,,,
2008,Navy,Independent,,8,5,0.615,0,0,,27.2,22,3.53,-0.78,,,,
2008,Notre Dame,Independent,,7,6,0.538,0,0,,24.7,22.2,2.99,0.91,,,,
2008,Army,Independent,,3,9,0.25,0,0,,14.8,23.7,-12.69,-4.27,,,,
